time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
11665408,80,89,224,1901,0.8657751362060426,51983,0.14232832,0.916814386844635,0.0026981789,1.7444923240691423,0.8760634064674377,0.00018850141866666667,0.0303802490234375,-0.16000477247871459,351,-0.0005859663306182483,0.0,0.9043778128470396,0.5366492146596858,18.486371994018555,0.66,74.64,,,
11796480,,,,,,,0.14167296000000001,0.915550947189331,0.0023611044,1.7769712079316378,0.8713462948799133,0.00018723438933333333,0.03603363037109375,-0.15987749095074832,355,-0.00033508082015032414,,,,,,,178.49,0.0,41.522560119628906
11796480,80,90,227,1894,0.8597174866049684,51757,,,,,,,,,,,0.0,0.9138670525506147,0.5356069657144926,16.621347427368164,0.75,59.66,,,
11927552,80,91,230,1936,0.8711747285291214,51762,0.1410176,0.9165176749229431,0.002563701,1.7176181226968765,0.8631805181503296,0.00018596736,0.03444671630859375,-0.15722676110453904,359,-0.0002478767437423812,0.0,0.8999464340373432,0.537940379403794,15.874067306518555,0.72,56.94,,,
12058624,80,92,232,1950,0.8796700630761766,51780,0.14036224,0.9140655398368835,0.0014888664,1.826010923832655,0.8919990062713623,0.00018470033066666665,0.02869415283203125,-0.15771529986523092,363,-0.001099118488127715,0.0,0.9053118075340297,0.5351486876765369,16.536439895629883,0.65,64.57,,,
12189696,80,93,235,1864,0.8653653653653653,51820,0.13970687999999998,0.9167975187301636,0.0024463963,1.7594870924949646,0.8301243185997009,0.0001834333013333333,0.03479766845703125,-0.1552766957320273,367,-0.000523868169693742,0.0,0.906513272929582,0.5351143493219996,18.002151489257812,0.66,68.86,,,
12320768,80,94,237,1758,0.865847140566542,51844,0.13905152,0.9231423139572144,0.0017543245,1.6532379444688559,0.8022109866142273,0.000182166272,0.03774833679199219,-0.16410733107477427,371,0.00010873653081944212,0.0,0.894001320243262,0.5272274858838166,17.16539764404297,0.71,65.61,,,
12451840,80,95,240,1777,0.8774973711882229,51863,0.13839616,0.9173007011413574,0.0017903623,1.73916338942945,0.7937636971473694,0.00018089924266666665,0.034229278564453125,-0.16325482912361622,375,-0.0006604171703656903,0.0,0.901964053717946,0.5454814814814815,17.11441993713379,0.66,66.59,,,
12582912,80,96,242,1846,0.8854648176682075,51874,0.1377408,0.9248742461204529,0.0031922986,1.5693280007690191,0.7008861899375916,0.00017963221333333336,0.03382682800292969,-0.15934409154579043,379,9.646739090385381e-05,0.0,0.8994422374704065,0.5428695194777066,20.884225845336914,0.66,76.79,,,
12713984,80,97,244,1886,0.894447223611806,51909,0.13708544,0.9231078624725342,0.0022306275,1.5662186164408922,0.7575753331184387,0.00017836518400000001,0.041454315185546875,-0.1544693356845528,383,0.00048820803021953907,0.0,0.904952672715133,0.5456662519539349,19.545312881469727,0.72,75.7,,,
